time,voltage
0.0,-64.00657169397753
0.0001,-65.27652860234237
0.0002,-63.70462292379862
0.0003,-61.95394028718395
0.0004,-65.46830674944667
0.0005,-65.46827391389836
0.0006,-61.84157436898522
0.0007,-63.46513054169418
0.0008,-65.9389487718699
0.0009,-63.91487991282807
0.001,-65.92683538562493
0.0011,-65.93145950714052
0.0012,-64.51607545686794
0.0013,-68.8265604893156
0.0014,-68.44983566502607
0.0015,-66.12457505848195
0.0016,-67.02566224066885
0.0017,-64.37150533480946
0.0018,-66.81604815104242
0.0019,-67.82460740267058
0.002,-62.06870246215689
0.0021,-65.45155260097307
0.0022,-64.86494359062415
0.0023,-67.84949637242691
0.0024,-66.08876544905037
0.0025,-64.77815482058027
0.0026,-67.30198715484461
0.0027,-64.24860396330865
0.0028,-66.2012773798376
0.0029,-65.58338749958655
0.003,-66.2034132244588
0.0031,-61.29544363098213
0.0032,-65.02699444947586
0.0033,-67.1154218579118
0.0034,-63.35491017579362
0.0035,-67.44168729994205
0.0036,-64.58227280999049
0.0037,-68.91934024775955
0.0038,-67.65637209779686
0.0039,-64.60627752826176
0.004,-63.52306684000918
0.0041,-64.65726343762006
0.0042,-65.23129656477649
0.0043,-65.60220739117858
0.0044,-67.95704398073485
0.0045,-66.43968841678942
0.0046,-65.92127754191958
0.0047,-62.88575554756217
0.0048,-64.31276342086308
0.0049,-68.52608031072546
0.005,-64.35183206121042
0.0051,-65.77016456083263
0.0052,-66.35384400061191
0.0053,-63.77664742231826
0.0054,-62.9380009550081
0.0055,-63.1374397617676
0.0056,-66.67843504644527
0.0057,-65.61842475170243
0.0058,-64.33747313719287
0.0059,-63.04890974575528
0.006,-65.95834847569058
0.0061,-65.37131795332763
0.0062,-67.21266994801206
0.0063,-67.39241324816135
0.0064,-63.3749483552116
0.0065,-62.28751994285835
0.0066,-65.14402024316067
0.0067,-62.99293420421595
0.0068,-64.27672794990472
0.0069,-66.29023950921025
0.007,-64.27720878898317
0.0071,-61.92392686706806
0.0072,-65.0716520782199
0.0073,-61.87071268837199
0.0074,-70.23949020817949
0.0075,-63.35619499124955
0.0076,-64.82590586352366
0.0077,-65.59801470093174
0.0078,-64.816478446929
0.0079,-68.97513782920178
0.008,-65.43934377567503
0.0081,-64.2857748569765
0.0082,-62.04421191051697
0.0083,-66.0365404365473
0.0084,-66.61698720578637
0.0085,-66.00351408716908
0.0086,-63.169195764595855
0.0087,-64.34249778068063
0.0088,-66.05952040753408
0.0089,-63.97346513377329
0.009,-64.80584490130391
0.0091,-63.06271001893422
0.0092,-66.4041061877547
0.0093,-65.65532429319553
0.0094,-65.78421630626431
0.0095,-67.92702989626423
0.0096,-64.40775944587085
0.0097,-64.47788945564022
0.0098,-64.98977308671508
0.0099,-65.4691742667503
0.01,-67.83074148410083
0.0101,-65.84129064553072
0.0102,-65.68542903305354
0.0103,-66.60455453844324
0.0104,-65.32257142333202
0.0105,-64.19189828637093
0.0106,-61.22762819757894
0.0107,-64.65084437433632
0.0108,-64.48489921855447
0.0109,-65.14889183153234
0.011,-68.83754243059808
0.0111,-65.05302775089844
0.0112,-64.87953958011795
0.0113,-60.07351577502943
0.0114,-65.38472192956225
0.0115,-64.39690531533277
0.0116,-65.0694235394105
0.0117,-67.33735607523906
0.0118,-62.71435437096996
0.0119,-63.49613393462645
0.012,-63.41793610591391
0.0121,-66.81877490958948
0.0122,-62.1944113781278
0.0123,-67.80370212558456
0.0124,-63.82628581239946
0.0125,-60.619088748380044
0.0126,-66.98107265026138
0.0127,-66.13259545920555
0.0128,-64.80069726982472
0.0129,-66.0069513082324
0.013,-68.10132686213227
0.0131,-64.86287405038794
0.0132,-67.1246074274522
0.0133,-64.05281513872964
0.0134,-66.8388484684676
0.0135,-61.900131189964924
0.0136,-66.56650658467247
0.0137,-65.64412303241136
0.0138,-63.372965565260664
0.0139,-67.46172863286792
0.014,-64.54508013079175
0.0141,-62.385714491435145
0.0142,-68.21496646912246
0.0143,-64.6307322829354
0.0144,-64.48023441150315
0.0145,-63.43635425644538
0.0146,-67.47390142175617
0.0147,-67.64091322616855
0.0148,-63.9561168687662
0.0149,-64.40603065353363
0.015,-64.49901429930824
0.0151,-64.30710358100605
0.0152,-66.36004944315698
0.0153,-64.53549260567799
0.0154,-64.41385505340264
0.0155,-66.42870283605274
0.0156,-61.268450977710486
0.0157,-64.05233415817642
0.0158,-67.3826069944053
0.0159,-63.68689278273234
0.016,-66.94936334045464
0.0161,-63.42583079251509
0.0162,-62.68280884198519
0.0163,-66.64136463670341
0.0164,-63.07324774151136
0.0165,-64.174438146127
0.0166,-63.35587968001102
0.0167,-61.2064140346921
0.0168,-65.49077623200574
0.0169,-66.50747232871498
0.017,-66.77902885925104
0.0171,-66.63162056993087
0.0172,-65.1542034188282
0.0173,-64.3176960503667
0.0174,-64.44661840133996
